seller_state,customer_state,route_label,action_posture,likely_investigation_owner,delivered_orders,delivered_gmv_proxy,on_time_eligible_orders,on_time_orders,late_orders,late_rate,median_late_days,p90_late_days,median_handling_hours,p90_handling_hours,median_carrier_hours,p90_carrier_hours,freight_burden,current_confidence
PR,SP,PR → SP,Defend route,Routine monitoring,1813,278386.85,1813,1761,52,0.02868174296745725317,5.5,16.900000000000002,43.0475,161.33722222222224,150.87805555555556,317.05572222222224,0.12568676795381347813,high
SP,PR,SP → PR,Defend route,Routine monitoring,1708,222798.00,1708,1623,85,0.04976580796252927400,5,16.6,42.79555555555556,130.32794444444446,176.62055555555557,411.1126111111111,0.15793956544529390762,high
SP,RS,SP → RS,Defend route,Routine monitoring,1838,220598.38,1838,1700,138,0.07508161044613710555,7,18,37.625416666666666,125.99102777777779,258.8301388888889,574.0770833333335,0.17071832259820443785,high
MG,SP,MG → SP,Defend route,Routine monitoring,1213,158834.56,1211,1166,45,0.03715937241948802642,5,18.400000000000006,38.21597222222222,139.95525,142.64777777777778,319.945,0.16471760766592945019,high
SC,SP,SC → SP,Defend route,Routine monitoring,690,108906.44,690,662,28,0.04057971014492753623,5,17,35.988055555555555,140.39458333333334,170.96916666666667,390.2839166666667,0.14771129014637212559,high
RJ,RJ,RJ → RJ,Defend route,Routine monitoring,560,103177.62,560,530,30,0.05357142857142857143,3,11.200000000000001,37.831805555555555,119.22288888888889,54.08541666666667,168.83980555555559,0.06844462598064761476,high
SP,SC,SP → SC,Monitor route,Routine monitoring,1249,172846.39,1249,1122,127,0.10168134507606084868,6,17,38.50083333333333,138.36072222222225,236.9713888888889,550.1672777777778,0.15967818867463678841,high
RJ,SP,RJ → SP,Monitor route,Routine monitoring,818,158825.18,818,741,77,0.09413202933985330073,6,21.200000000000006,33.99777777777778,128.93194444444444,151.32611111111112,421.09941666666685,0.10044616573577416623,high
SP,DF,SP → DF,Monitor route,Routine monitoring,814,101361.38,814,750,64,0.07862407862407862408,5,14,39.657222222222224,138.41380555555557,183.09,441.0469722222222,0.15495888817580484151,high
SP,GO,SP → GO,Monitor route,Routine monitoring,756,98545.81,756,692,64,0.08465608465608465608,5.5,20,41.26069444444445,132.60361111111115,262.08416666666665,501.63944444444445,0.15705758418256300118,high
MG,MG,MG → MG,Monitor route,Routine monitoring,811,96499.16,811,794,17,0.02096177558569667078,4,16.200000000000003,36.122083333333336,134.6026666666667,102.99416666666667,230.96777777777777,0.13998646781435951695,high
SP,PE,SP → PE,Monitor route,Routine monitoring,604,81959.95,604,545,59,0.09768211920529801325,9,22.200000000000003,43.23013888888889,127.38358333333335,306.44083333333333,601.0193611111112,0.20163789015637230894,high
PR,MG,PR → MG,Monitor route,Routine monitoring,492,78407.84,492,470,22,0.04471544715447154472,7,25.900000000000006,43.151666666666664,185.2029444444445,195.3736111111111,429.6903888888889,0.14462740629942923770,high
MG,RJ,MG → RJ,Monitor route,Routine monitoring,508,69753.76,508,457,51,0.10039370078740157480,9,30,34.36361111111111,120.05447222222223,189.7420833333333,559.737027777778,0.18230919612842223254,high
RS,SP,RS → SP,Monitor route,Routine monitoring,357,66524.22,357,353,4,0.01120448179271708683,10.5,27.1,39.59111111111111,153.63625000000002,148.00972222222222,280.22994444444447,0.13060680240032442044,medium
PR,PR,PR → PR,Monitor route,Routine monitoring,435,64203.43,435,420,15,0.03448275862068965517,3,7.6000000000000005,33.72527777777778,143.8413888888889,93.96277777777777,214.16222222222223,0.11122445547064034241,high
RJ,MG,RJ → MG,Monitor route,Routine monitoring,324,56894.60,324,298,26,0.08024691358024691358,5,25.50000000000001,34.80444444444444,118.66627777777781,167.92597222222224,418.403888888889,0.10586354591284280972,medium
PR,RS,PR → RS,Monitor route,Routine monitoring,349,51536.29,349,331,18,0.05157593123209169054,9,17,44.96083333333333,148.63927777777778,217.8775,452.9390555555556,0.15257369596055714480,medium
SP,MT,SP → MT,Monitor route,Routine monitoring,360,50532.77,360,339,21,0.05833333333333333333,8,22,43.55416666666667,139.86611111111114,308.74819444444444,527.0383611111112,0.17940092568504818259,medium
SC,MG,SC → MG,Monitor route,Routine monitoring,227,47940.89,227,219,8,0.03524229074889867841,4.5,9.300000000000002,41.16291666666666,144.6962777777778,198.7711111111111,481.0103333333334,0.13501632143741235753,medium
SP,PB,SP → PB,Monitor route,Routine monitoring,178,36579.43,178,161,17,0.09550561797752808989,6,12.4,45.754444444444445,139.0569166666667,332.11055555555555,689.4647777777778,0.21739176014930121494,medium
RS,RS,RS → RS,Monitor route,Routine monitoring,150,33280.24,150,144,6,0.04000000000000000000,4,7,46.51166666666666,161.08072222222225,73.14875,191.85344444444445,0.07748028641147686081,medium
PR,SC,PR → SC,Monitor route,Routine monitoring,222,32751.22,222,210,12,0.05405405405405405405,7,12,39.59833333333333,122.7818888888889,186.66541666666666,429.5342777777778,0.14029812038107917835,medium
SP,RN,SP → RN,Monitor route,Routine monitoring,169,30137.46,169,153,16,0.09467455621301775148,9.5,25,43.27527777777778,145.3997222222222,316.88916666666665,666.0684444444447,0.19595403265438103252,medium
RS,RJ,RS → RJ,Monitor route,Routine monitoring,126,25588.93,126,118,8,0.06349206349206349206,11.5,30.200000000000003,40.5925,154.4869444444445,173.12083333333334,460.41,0.13457879382498347886,medium
SC,SC,SC → SC,Monitor route,Routine monitoring,140,24948.85,140,133,7,0.05000000000000000000,6,16.6,45.36805555555556,112.39241666666668,96.52291666666667,219.663,0.10876529547131878095,medium
MG,PR,MG → PR,Monitor route,Routine monitoring,179,24877.41,179,177,2,0.01117318435754189944,5,5.8,40.050555555555555,155.38461111111113,195.26388888888889,362.1218333333334,0.18626309662398137369,medium
SC,PR,SC → PR,Monitor route,Routine monitoring,143,24335.83,143,141,2,0.01398601398601398601,13,14.6,33.40597222222222,113.81791666666668,167.84555555555556,333.8763888888889,0.13469220129498398160,medium
RJ,PR,RJ → PR,Monitor route,Routine monitoring,131,24114.77,131,116,15,0.11450381679389312977,6,22.000000000000004,34.56027777777778,117.5542777777778,182.99194444444444,508.7813888888889,0.11556971570328923915,medium
MG,BA,MG → BA,Monitor route,Routine monitoring,176,23142.26,176,156,20,0.11363636363636363636,6,16,37.90416666666667,119.43611111111113,269.86458333333337,644.5872222222222,0.19553758148123428775,medium
SC,RS,SC → RS,Monitor route,Routine monitoring,145,20195.91,145,134,11,0.07586206896551724138,3,16,45.08291666666666,130.57525000000004,201.38166666666666,418.70255555555565,0.15683956208566658442,medium
RJ,RS,RJ → RS,Monitor route,Routine monitoring,111,19490.00,111,102,9,0.08108108108108108108,10,12.4,47.450833333333335,103.49447222222223,249.22916666666666,546.6286111111111,0.12576904513705106514,medium
DF,SP,DF → SP,Monitor route,Routine monitoring,163,18882.44,163,157,6,0.03680981595092024540,6.5,18,37.7025,134.75783333333337,155.46555555555557,317.9316111111111,0.15763712056188336566,medium
MG,SC,MG → SC,Monitor route,Routine monitoring,101,15814.02,101,95,6,0.05940594059405940594,2.5,14.500000000000002,38.00055555555556,212.1275000000001,244.25694444444446,549.555,0.19933917972620411610,medium
MG,RS,MG → RS,Monitor route,Routine monitoring,110,15384.43,110,104,6,0.05454545454545454545,15.5,24.5,49.87138888888889,161.8166666666667,280.0711111111111,577.8467777777778,0.23438378674820271342,medium
