dimension_type,dimension_value,prior_orders,current_orders,prior_gmv,current_gmv,gmv_change,gmv_growth_rate,contribution_to_market_change,comparison_confidence,growth_rank
Category,audio,68,187,7717.34,32960.94,25243.60,3.2710234355360785,0.00597528470508644513,exploratory,29
Category,computers,30,56,38148.99,62403.34,24254.35,0.63577961041694681825,0.00574112434782730753,exploratory,30
Category,[unknown],423,605,48687.16,70593.94,21906.78,0.44994984303869849874,0.00518544294283278274,high,31
Category,kitchen_dining_laundry_garden_furniture,43,136,5399.26,27009.83,21610.57,4.0025058989565237,0.00511532857394349374,exploratory,32
Category,cool_stuff,1206,1391,206306.37,227743.70,21437.33,0.10391017010284268004,0.00507432181094973786,high,33
Category,small_appliances,183,314,66022.90,85912.94,19890.04,0.30125971443241663120,0.00470807063158810934,medium,34
Category,fixed_telephony,100,85,8217.40,27005.39,18787.99,2.2863667340034561,0.00444720995762557956,exploratory,35
Category,consoles_games,273,371,43698.35,61497.08,17798.73,0.40730897162020991639,0.00421304723331708883,medium,36
Category,drinks,10,217,997.73,16883.19,15885.46,15.9216020366231345,0.00376016678172933023,insufficient,37
Category,signaling_and_security,16,105,1699.62,17066.24,15366.62,9.0412092114707994,0.00363735479309113872,insufficient,38
Category,food,56,338,5109.97,20304.87,15194.90,2.9735791012471697,0.00359670782159905976,exploratory,39
Category,books_general_interest,118,282,11796.09,26856.15,15060.06,1.27669931307746889012,0.00356479052812135230,medium,40
Category,luggage_accessories,356,463,50692.62,63612.93,12920.31,0.25487556176816270297,0.00305830114278373322,medium,41
Category,furniture_living_room,134,211,22545.82,33467.26,10921.44,0.48441085753368030083,0.00258515874873311672,medium,42
Category,costruction_tools_garden,30,128,5585.99,16364.39,10778.40,1.9295415852874781,0.00255130047478583642,exploratory,43
Category,books_technical,20,213,2441.28,12940.01,10498.73,4.3005021955695373,0.00248510120552663701,insufficient,44
Category,costruction_tools_tools,3,76,1532.90,11816.66,10283.76,6.7086959358079457,0.00243421674558223791,insufficient,45
Category,art,22,163,8053.50,14675.96,6622.46,0.82230831315577078289,0.00156756896591796651,insufficient,46
Category,food_drink,37,117,1199.60,7655.94,6456.34,5.3820773591197066,0.00152824754206364461,exploratory,47
Category,air_conditioning,75,132,18332.22,24705.06,6372.84,0.34763056520159587873,0.00150848267996494561,exploratory,48
Category,cine_photo,5,55,315.00,5979.47,5664.47,17.9824444444444444,0.00134080800493673707,insufficient,49
Category,christmas_supplies,6,77,377.69,5910.90,5533.21,14.6501363552119463,0.00130973811512745286,insufficient,50
Category,furniture_bedroom,27,53,5527.13,10813.17,5286.04,0.95638061706527619216,0.00125123175626595067,insufficient,51
Category,[unmapped] portateis_cozinha_e_preparadores_de_alimentos,0,13,0,3933.63,3933.63,,0.00093110963469826780,insufficient,52
Category,books_imported,3,39,179.99,3470.87,3290.88,18.2836824268014890,0.00077896753752534823,insufficient,53
Category,music,10,27,1503.49,4475.96,2972.47,1.9770467379230989,0.00070359831907209374,insufficient,54
Category,party_supplies,1,29,69.90,2621.79,2551.89,36.5077253218884120,0.00060404495737783234,insufficient,55
Category,arts_and_craftmanship,2,21,151.89,1662.12,1510.23,9.9429192178550267,0.00035747889445890055,insufficient,56
Category,diapers_and_hygiene,0,23,0,1289.89,1289.89,,0.00030532332901186656,insufficient,57
Category,flowers,0,21,0,839.54,839.54,,0.00019872326139331451,insufficient,58
Category,furniture_mattress_and_upholstery,7,19,1324.08,1775.10,451.02,0.34062896501721950335,0.00010675865992521227,insufficient,59
Category,[unmapped] pc_gamer,4,3,519.96,786.99,267.03,0.51355873528732979460,0.000063207318876833472343,insufficient,60
Category,fashion_childrens_clothes,2,3,220.00,169.97,-50.03,-0.22740909090909090909,-0.000011842347913747438944,insufficient,61
Category,security_and_services,1,0,183.29,0,-183.29,-1.00000000000000000000,-0.000043385647593659166182,insufficient,62
Category,la_cuisine,8,3,999.99,781.00,-218.99,-0.21899218992189921899,-0.000051836013784360416838,insufficient,63
Category,fashion_underwear_beach,40,37,2694.45,2409.10,-285.35,-0.10590287442706303698,-0.000067543753291781565116,exploratory,64
Category,cds_dvds_musicals,6,1,360.00,65.00,-295.00,-0.81944444444444444444,-0.000069827955917559354159,insufficient,65
Category,home_comfort_2,10,7,493.08,151.09,-341.99,-0.69357913523160541900,-0.000080950720827952961115,insufficient,66
Category,fashion_shoes,110,67,8907.08,8296.97,-610.11,-0.06849719548943087970,-0.00014441604808427843,exploratory,67
Category,home_confort,140,146,21445.47,20737.65,-707.82,-0.03300557180607373026,-0.00016754448731378597,medium,68
Category,fashion_sport,16,5,1160.72,369.50,-791.22,-0.68166310565855675787,-0.00018728567891895360,insufficient,69
Category,fashio_female_clothing,22,8,1547.70,616.66,-931.04,-0.60156361051883439943,-0.00022038176297452360,insufficient,70
Category,dvds_blu_ray,24,22,2995.79,1132.71,-1863.08,-0.62189939882301496433,-0.00044100023088436095,insufficient,71
Category,fashion_male_clothing,49,24,4644.28,2301.87,-2342.41,-0.50436450859982602255,-0.00055446000752830579,insufficient,72
Category,tablets_printing_image,43,20,5157.75,1267.96,-3889.79,-0.75416412195240172556,-0.00092073249033411254,insufficient,73
Category,market_place,129,95,15088.93,7565.57,-7523.36,-0.49860129247070534491,-0.00178081644214213337,exploratory,74
Customer state,SP,8578,23335,1079261.66,2919328.17,1840066.51,1.7049308598621024,0.43555282422256707975,high,1
Customer state,MG,2614,6079,331969.32,840172.20,508202.88,1.5308730336887758,0.12029412983666680120,high,2
Customer state,RJ,2965,6342,427907.16,874934.14,447026.98,1.0446821689078538,0.10581349238440571885,high,3
Customer state,PR,1193,2711,158256.91,376623.19,218366.28,1.3798214561373655,0.05168837618210651813,high,4
Customer state,RS,1387,2737,177239.96,375581.14,198341.18,1.1190545292382147,0.04694833618195493228,high,5
Customer state,SC,846,1884,114575.86,281524.74,166948.88,1.4571034422085071,0.03951762384110476783,high,6
Customer state,BA,771,1726,123855.81,265885.82,142030.01,1.1467367578476940,0.03361920432966276016,high,7
Customer state,DF,409,1193,62099.36,164284.94,102185.58,1.6455174417256474,0.02418783110389910098,high,8
Customer state,ES,476,1047,58087.41,152031.09,93943.68,1.6172812662847250,0.02223693269753661813,high,9
Customer state,PE,358,852,51046.32,134193.90,83147.58,1.6288653129157988,0.01968144254539572815,medium,10
Customer state,GO,449,1033,67625.08,148131.20,80506.12,1.1904772608032405,0.01905619592696184228,high,11
Customer state,CE,321,633,53120.01,107628.71,54508.70,1.02614250260871562336,0.01290247830753717820,medium,12
Customer state,MT,203,476,38042.25,76092.64,38050.39,1.00021397262254467073,0.00900671510361336025,medium,13
Customer state,PB,130,269,24761.96,62565.92,37803.96,1.5266949789112009,0.00894838390640399024,medium,14
Customer state,MA,185,346,23638.95,57461.28,33822.33,1.4307881695252962,0.00800591243481066194,medium,15
Customer state,MS,147,411,30424.74,62752.35,32327.61,1.06254350899958389127,0.00765210483389847781,medium,16
Customer state,PA,269,453,53413.92,84941.34,31527.42,0.59024726138804266753,0.00746269591170975977,medium,17
Customer state,RN,112,241,16173.68,46296.67,30122.99,1.8624697656933982,0.00713026039940705508,medium,18
Customer state,PI,118,258,23025.57,49235.43,26209.86,1.13829364484787998734,0.00620400321588271937,medium,19
Customer state,SE,102,146,14042.37,26409.84,12367.47,0.88072526218864764281,0.00292744118634487385,medium,20
Customer state,TO,70,144,13156.09,24951.37,11795.28,0.89656425275290758880,0.00279200098940769322,exploratory,21
Customer state,RO,77,109,10509.87,21563.19,11053.32,1.05170853683252028807,0.00261637539560229546,exploratory,22
Customer state,AL,113,198,25533.02,35462.83,9929.81,0.38890072541360168127,0.00235043503372793237,medium,23
Customer state,AM,45,72,5539.62,11717.35,6177.73,1.1151902116029619,0.00146229918003587779,exploratory,24
Customer state,RR,12,22,877.15,5613.01,4735.86,5.3991449581029470,0.00112100143495502591,insufficient,25
Customer state,AP,15,39,2876.92,7427.66,4550.74,1.5818097131654686,0.00107718261732974256,insufficient,26
Customer state,AC,33,27,6395.16,5315.00,-1080.16,-0.16890273269159802100,-0.00025567920292851157,insufficient,27
